[05:05:18]  [-5.88262085e-05 -5.92425662e-03  4.06621133e+00]
[05:05:19] [YOLO] 訂閱 /camera/color/image_raw
[05:05:20] [YOLO] ✗ 未偵測到球  (miss:11)
[05:05:23] [YOLO] ✗ 未偵測到球  (miss:61)
[05:05:25] [YOLO] ✗ 未偵測到球  (miss:111)
[05:05:26] [YOLO] ✗ 未偵測到球  (miss:161)
[05:05:28] [YOLO] ✗ 未偵測到球  (miss:211)
[05:05:30] [YOLO] ✗ 未偵測到球  (miss:261)
[05:05:31] [YOLO] ✗ 未偵測到球  (miss:311)
[05:05:33] [YOLO] ✗ 未偵測到球  (miss:361)
[05:05:35] [YOLO] ✗ 未偵測到球  (miss:411)
[05:05:37] [YOLO] ✗ 未偵測到球  (miss:461)
[05:05:39] [YOLO] ✗ 未偵測到球  (miss:511)
[05:05:42] [YOLO] ✗ 未偵測到球  (miss:561)
[05:05:44] [YOLO] ✗ 未偵測到球  (miss:611)
[05:05:47] [YOLO] ✗ 未偵測到球  (miss:661)
[05:05:50] [YOLO] ✗ 未偵測到球  (miss:711)
[05:05:53] [YOLO] ✗ 未偵測到球  (miss:761)
[05:05:56] [YOLO] ✗ 未偵測到球  (miss:811)
[05:05:59] [YOLO] ✗ 未偵測到球  (miss:861)
[05:06:01] [YOLO] ✗ 未偵測到球  (miss:911)
[05:06:02] [YOLO] ✗ 未偵測到球  (miss:961)
[05:06:04] [YOLO] ✗ 未偵測到球  (miss:1011)
[05:06:06] [YOLO] ✗ 未偵測到球  (miss:1051)
[05:06:08] [YOLO] ✓ 球 全域座標: X=-0.082m  Y=0.423m  conf=0.55  (累計偵測:2)
[05:06:45] [YOLO] ✓ 球 全域座標: X=+0.029m  Y=2.847m  conf=0.90  (累計偵測:416)
[05:06:45] [YOLO] ✓ 球 全域座標: X=+0.100m  Y=2.882m  conf=0.88  (累計偵測:421)
[05:06:45] [YOLO] ✓ 球 全域座標: X=+0.126m  Y=2.671m  conf=0.86  (累計偵測:426)
[05:06:46] [YOLO] ✓ 球 全域座標: X=+0.135m  Y=2.529m  conf=0.92  (累計偵測:431)
[05:06:46] [YOLO] ✓ 球 全域座標: X=+0.152m  Y=2.334m  conf=0.88  (累計偵測:436)
[05:06:46] [YOLO] ✓ 球 全域座標: X=+0.160m  Y=2.215m  conf=0.91  (累計偵測:441)
[05:06:46] [YOLO] ✓ 球 全域座標: X=+0.178m  Y=1.895m  conf=0.92  (累計偵測:446)
[05:06:47] [YOLO] ✓ 球 全域座標: X=+0.175m  Y=1.757m  conf=0.94  (累計偵測:451)
[05:06:47] [YOLO] ✓ 球 全域座標: X=+0.172m  Y=1.624m  conf=0.90  (累計偵測:456)
[05:06:47] [YOLO] ✓ 球 全域座標: X=+0.163m  Y=1.487m  conf=0.95  (累計偵測:461)
[05:06:48] [YOLO] ✓ 球 全域座標: X=+0.161m  Y=1.445m  conf=0.95  (累計偵測:466)
[05:06:48] [YOLO] ✓ 球 全域座標: X=+0.154m  Y=1.428m  conf=0.90  (累計偵測:471)
[05:06:48] [YOLO] ✓ 球 全域座標: X=+0.155m  Y=1.417m  conf=0.94  (累計偵測:476)
[05:06:48] [YOLO] ✓ 球 全域座標: X=+0.152m  Y=1.422m  conf=0.94  (累計偵測:481)
[05:06:49] [YOLO] ✓ 球 全域座標: X=+0.147m  Y=1.403m  conf=0.94  (累計偵測:486)
[05:06:49] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.419m  conf=0.93  (累計偵測:491)
[05:06:49] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.420m  conf=0.93  (累計偵測:496)
[05:06:49] [YOLO] ✓ 球 全域座標: X=+0.149m  Y=1.417m  conf=0.94  (累計偵測:501)
[05:06:50] [YOLO] ✓ 球 全域座標: X=+0.149m  Y=1.415m  conf=0.95  (累計偵測:506)
[05:06:50] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.411m  conf=0.95  (累計偵測:511)
[05:06:50] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.414m  conf=0.95  (累計偵測:516)
[05:06:51] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.414m  conf=0.94  (累計偵測:521)
[05:06:51] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.415m  conf=0.95  (累計偵測:526)
[05:06:51] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:531)
[05:06:51] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.412m  conf=0.94  (累計偵測:536)
[05:06:52] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:541)
[05:06:52] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:546)
[05:06:52] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:551)
[05:06:53] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:556)
[05:06:53] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.415m  conf=0.94  (累計偵測:561)
[05:06:53] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:566)
[05:06:54] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.412m  conf=0.94  (累計偵測:571)
[05:06:54] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:576)
[05:06:54] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:581)
[05:06:54] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:586)
[05:06:55] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:591)
[05:06:55] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:596)
[05:06:55] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:601)
[05:06:56] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:606)
[05:06:56] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.412m  conf=0.94  (累計偵測:611)
[05:06:56] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:616)
[05:06:57] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:621)
[05:06:57] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:626)
[05:06:57] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:631)
[05:06:58] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:636)
[05:06:58] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.415m  conf=0.94  (累計偵測:641)
[05:06:58] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:646)
[05:06:58] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:651)
[05:06:59] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:656)
[05:06:59] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.415m  conf=0.94  (累計偵測:661)
[05:06:59] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:666)
[05:06:59] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:671)
[05:07:00] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.95  (累計偵測:676)
[05:07:00] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.95  (累計偵測:681)
[05:07:00] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:686)
[05:07:00] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.412m  conf=0.94  (累計偵測:691)
[05:07:01] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:696)
[05:07:01] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:701)
[05:07:01] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.413m  conf=0.94  (累計偵測:706)
[05:07:01] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.412m  conf=0.94  (累計偵測:711)
[05:07:02] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:716)
[05:07:02] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:721)
[05:07:02] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.415m  conf=0.94  (累計偵測:726)
[05:07:02] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.413m  conf=0.94  (累計偵測:731)
[05:07:03] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.413m  conf=0.94  (累計偵測:736)
[05:07:03] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:741)
[05:07:03] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:746)
[05:07:03] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:751)
[05:07:03] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:756)
[05:07:04] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:761)
[05:07:04] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:766)
[05:07:04] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.415m  conf=0.94  (累計偵測:771)
[05:07:04] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.94  (累計偵測:776)
[05:07:04] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:781)
[05:07:05] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:786)
[05:07:05] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.412m  conf=0.94  (累計偵測:791)
[05:07:05] [YOLO] ✓ 球 全域座標: X=+0.150m  Y=1.414m  conf=0.94  (累計偵測:796)
[05:07:06] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.413m  conf=0.94  (累計偵測:801)
[05:07:06] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.415m  conf=0.94  (累計偵測:806)
[05:07:06] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.417m  conf=0.94  (累計偵測:811)
[05:07:06] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.416m  conf=0.94  (累計偵測:816)
[05:07:06] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.416m  conf=0.95  (累計偵測:821)
[05:07:07] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.95  (累計偵測:826)
[05:07:07] [YOLO] ✓ 球 全域座標: X=+0.151m  Y=1.414m  conf=0.95  (累計偵測:831)
